Название,Жанр,Режиссер,Страна,Год
Мадемуазель Мушкетёр,"приключения, боевик",Стив Бойум,США,
Мадемуазель де Мопен (фильм),Кинокомедия,Мауро Болоньини,"Италия, Франция, Испания, Югославия",1966
Мадемуазель де Жонкьер,мелодрама,Эмманюэль Муре,Франция,2018
Мадемуазель (фильм),"Драма, , экранизация",Тони Ричардсон,"Франция, Великобритания",1966
"Маддалена, ноль за поведение",комедия,Витторио Де Сика,Италия,1940
Король Ричард,"биографическая, спортивная, драма",Рейнальдо Маркус Грин,США,2021
Малькольм и Мари,романтический фильм,Сэм Левинсон,США,2021
"Мальвиль (фильм, 1980)","научно-фантастический фильм, [, 1, ], ,, фильм-катастрофа, и, постапокалиптический фильм",Кристиан де Шалонж,Франция,1981
Мальва (фильм),мелодрама,Владимир Браун,СССР,1956
"Мальва (фильм, 1984)","новелла, экранизация",Александр Зельдович,СССР,1984
Малышка Шерри,драма,Лори Коллье,США,2006
Малышка Финн,драма,"Доминик Кордона, Лори Колберт",Канада,2007
Малышка на миллион,"спортивная, драма","Клинт Иствуд, [, 4, ], [, 5, ], […]",США,2004
Малышка Лили,драма,Клод Миллер,"Франция, Канада",2003
Малышка Бесс,"исторический, биографический, драма",Джордж Сидни,США,1953
Малышка (фильм),боевик,Брайан Эндрю Мендоза,США,2021
"Малышка (фильм, 2009)","драма, [, 1, ]",".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Тизза Кови, [вд], [, 1, ], [, 2, ], Райнер Фриммель, [вд], [, 1, ]","Италия, Австрия",2009
Малыши из мусорного бачка,"приключенческий фильм, мюзикл, комедия",Родни Амато,США,1987
Малыши (фильм),"документальный, семейный",Томас Бальмес,Франция,2010
Малыш на драйве,"боевик, триллер, комедия",Эдгар Райт,"США, Великобритания",2017
Малыш Кид,"вестерн, ,, приключения",Винсент Д’Онофрио,США,"23 мая, 2019"
Малыш Джо,"драма, и, научно-фантастический фильм",Джессика Хаузнер,"Австрия, Великобритания, Германия","2019, ,, 1 ноября, 2019, [, 1, ], ,, 9 января, 2020, ,, 13 декабря, 2019, ,, 13 февраля, 2020, [, 2, ], ,, 4 января, 2020, [, 3, ], ,, 14 мая, 2020, [, 4, ], и, 12 февраля, 2022, [, 5, ]"
Малыш Бутс,комедия,Фрэнк Таттл,США,1926
"Малыш (фильм, 2001)",драма,Джон Синглтон,США,2001
"Малыш (фильм, 2000)","драма, ,, фантастика",Джон Тёртелтауб,США,2000
"Малыш (фильм, 1997)","драма, /, семейный фильм",Джон Хэмилтон,Канада,1997
"Малыш (фильм, 1973)","ужасы, ,, триллер",Тед Пост,США,1973
"Малыш (фильм, 1921)","комедийная драма, семейный фильм",Чарльз Чаплин,США,"1921, [, 3, ], ,, 16 января, 1921, [, 4, ], ,, 21 января, 1921, [, 4, ], ,, 30 января, 1921, [, 4, ], и, 6 февраля, 1921, [, 4, ]"
Контракты,комедия,Камило Вила,США,1988
"Крайности (фильм, 1986)",триллер,Роберт М. Янг,США,1986
Мария (фильм),"драма, [, 1, ]","Абель Феррара, [, 1, ], [, 2, ]","Франция, США, Италия",2005
"Мария (фильм, 2024)","биографический фильм, [, 1, ], ,, драма, и, .mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, психологический драматический фильм, [вд]","Пабло Ларраин, [, 1, ]","Германия, Великобритания, Чили, Италия",2024
"Мария — королева Шотландии (фильм, 2013)","исторический, драма",Томас Имбах,"Швейцария, Франция",2013
"Мария — королева Шотландии (фильм, 1971)",драма,Чарльз Джэррот,Великобритания,1971
"Марица (фильм, 1985)",кинооперетта,Александр Белинский,СССР,1985
Мариус и Жаннетт (фильм),"комедия, драма",Робер Гедигян,Франция,1997
"Мариус (фильм, 1931)","Романтическая комедия, Мелодрама","Александр Корда, Марсель Паньоль",Франция,1931
Марите (фильм),"драма,, фильм-биография, , военный фильм",Вера Строева,СССР,1947
Марис Янсонс (фильм),документальный фильм,Мара Страуме,Латвия,1999
Марионетки (фильм),кинокомедия,"Яков Протазанов, ,, Порфирий Подобед, (сорежиссёр)",СССР,1934
Марионетка (фильм),"триллер, мистика",Элберт ван Стриен,"Нидерланды, Люксембург, Великобритания",2020
"Маринка, Янка и тайны королевского замка",сказка,"Юрий Цветков, Вацлава Вербовская",СССР,1976
Марина Цветаева. Страсти по Марине,"Документальное кино, ,, драма",Андрей Осипов,Россия,2004
Марина (фильм),"драма, ,, мелодрама",Борис Ивченко,СССР,1974
Маримонтская соната (фильм),"драма, экранизация",Ежи Ридан,ПНР,1987
Марилин (фильм),"драма, и, .mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, ЛГБТ-фильм, [вд]","Мартин Родригес Редондо, [вд]","Аргентина, Чили","19 февраля, 2018, [, 1, ]"
Марикен из Неймегена (фильм),драма,Йос Стеллинг,Нидерланды,1974
Мариголд: Путешествие в Индию,комедия,Уиллард Кэрролл,"США, Индия, Великобритания",2007
Марианна (фильм),"биография, военный фильм, экранизация",Василий Паскару,СССР,1967
Мари-Октябрь,драма,Жюльен Дювивье,Франция,1959
Мари-Кужэр,драма,Борис Шелонцев,СССР,1928
Мари Шанталь против доктора Ха,"Шпионский, триллер, ,, Комедия",Клод Шаброль,"Франция, Испания, Италия",1965
Кровь и бетон,криминальная комедия,Джеффри Рейнер,США,13 июня 1991
Махорка-Муфф,короткометражный,"Жан-Мари Штрауб, Даниэль Юйе",Германия,1963
"Махакаал (фильм, 1994)",ужасы,"Шиам Рамсей, [англ.], Тулси Рамсей, [англ.]",Индия,1993
Мафия!,комедия,Джим Абрахамс,США,1998
Мафия: Игра на выживание,"фантастика, боевик",Сарик Андреасян,Россия,2016
Мафия убивает только летом,комедийная драма,"Пьерфранческо Дилиберто, [, 1, ]",Италия,2013
Мафия бессмертна,"криминальная драма, боевик",Леонид Партигул,Россия,1993
"Мафия (фильм, 1951)","Фильм нуар, Триллер",Роберт Пэрриш,США,1951
Мафиозо (фильм),"комедия, криминальный",Альберто Латтуада,Италия,1962
Маунтинхед,драма,Джесси Армстронг,США,"31 мая, 2025, [, 1, ]"
Маугли (фильм),"приключенческая, драма",Энди Сёркис,"Великобритания, США",2018
Мать/Андроид,"научно-фантастический фильм, и, фильм-триллер",Маттсон Томлин,США,2021
Мать Урагана (фильм),"драма, история",Юрий Марухин,СССР,1990
"Мать Тереза Калькуттская (фильм, 2003)",биография,Фабрицио Коста,Италия,2003
Мать слёз,фильм ужасов,Дарио Ардженто,"США, Италия",2007
Мать своих детей,триллер,Ив Симоно,США,1994
Мать Мария (фильм),историческая драма,Сергей Колосов,СССР,1982
"Мать Мария (фильм, 2025)",мелодрама,Дэвид Лоури,США,2025
Мать Иоанна от ангелов (фильм),драма,Ежи Кавалерович,Польша,1961
Мать Индия,"драма, /, музыкальный, /, семейный",Мехбуб Хан,Индия,1957
Мать и сын,драма,Александр Сокуров,"Германия, Россия",1997
Крепость 2: Глаз снайпера,"боевик, триллер",Джош Стернфельд,США,2022
Меридиан (фильм),мелодрама,Чарлз Бэнд,США,1990
Мёрзлая земля (фильм),криминальный триллер,Скотт Уокер,США,2013
"Мерзавец (фильм, 2003)","драма, биографический",Марио Ван Пиблз,США,2003
"Мерзавец (фильм, 1988)","драма, и, трагикомедия",Вагиф Мустафаев,СССР,1988
Мера пресечения (фильм),"драма, ,, детектив",Лев Цуцульковский,СССР,
Меняющие реальность,"фантастика, мелодрама, триллер",Джордж Нолфи,США,2011
Меняю собаку на паровоз,комедия,Никита Хубов,СССР,1975
Менялы (фильм),комедия,Георгий Шенгелия,Россия,1992
Меняемся воротами,"комедия, семейный фильм, спортивный фильм",Дэвид Стейнберг,США,1999
Меня это не касается…,Детектив,Герберт Раппапорт,СССР,1976
Меня там нет,биография,Тодд Хейнс,США,2007
Меня полюбят после моей смерти,документальный,Морган Невилл,США,2018
Меня зовут Троица,"вестерн, ,, комедия",Энцо Барбони,Италия,1970
Меня зовут Сара,"драма, комедия",Пол А. Кауфман,США,2007
Меня зовут Никто,"вестерн, /, комедия",Тонино Валерии,"Италия, [, 3, ], [, 4, ], […], Франция, [, 3, ], [, 4, ], […], ФРГ, [, 3, ], [, 4, ], […]","13 декабря, 1973, [, 1, ], [, 2, ], ,, 14 декабря, 1973, [, 2, ], ,, 21 декабря, 1973, [, 2, ], и, 17 июля, 1974, [, 2, ]"
Меня зовут Майя,драма,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Tommaso Agnese, [вд]",Италия,2015
Меня зовут Майкл,драма,Джастин Келли,США,2015
Меня зовут Кхан,"мелодрама, драма",Каран Джохар,Индия,2010
Меня зовут Кожа,"детский, комедия",Абдулла Карсакбаев,СССР,1963
Меня зовут Долемайт,"Фильм-биография, ,, комедия, ,, драма","Крэйг Брюэр, [англ.]",США,2019
Меня зовут Джулия Росс,нуар,Джозеф Х. Льюис,США,1945
Меня зовут Джо,"драма, ,, комедийный фильм, и, романтический фильм, [, 1, ]",Кен Лоуч,Великобритания,1998
Кто придумал колесо?,"Лирический фильм,, киноповесть",Владимир Шредель,СССР,1966
Мизери (фильм),"триллер, драма",Роб Райнер,США,1990
"Мизантроп (фильм, 2023)","фильм-триллер, [, 2, ], [, 3, ], […], ,, .mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, полицейский фильм, [вд], [, 2, ], [, 4, ], и, боевик, [, 3, ], [, 5, ], […]",Дамиан Сифрон,США,2023
"Мидуэй (фильм, 2019)","история, драма, боевик",Роланд Эммерих,США,2019
Мидлтаун (фильм),Драма,Брайан Кирк,Великобритания,2006
Мигранты (фильм),драма,Валерий Приёмыхов,СССР,1991
Миг невинности,"комедия, драма, мелодрама",Мохсен Махмальбаф,"Иран, Франция",1996
Мещерские (фильм),мелодрама,Борис Яшин,Россия,1995
Мешок без дна,"драма, с элементами, сказки, артхаус",Рустам Хамдамов,Россия,2017
Мешки для трупов (фильм),фильм ужасов,"Джон Карпентер, ,, Тоуб Хупер",США,1993
"Мечты сбываются (фильм, 1959)",производственный фильм,Михаил Винярский,СССР,1959
Мечты о баскетболе,"документальный, , спортивный",Стив Джеймс,США,1994
Мечты идиота,комедия,Василий Пичул,"Россия, Франция",1993
"Мечты (фильм, 2024)",драма,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Даг Йохан Хёугеруд, [вд]",Норвегия,"4 октября, 2024"
Мечте навстречу,фантастика,"Михаил Карюков, Отар Коберидзе",СССР,1963
Мечтая об Аргентине,"драма, мелодрама, триллер",Кристофер Хэмптон,"Испания, Великобритания, США",2003
Мечтаю о тебе,"комедия, мюзикл, семейный фильм",Майкл Кёртис,США,1949
"Мечтать не вредно (фильм, 2005)",Комедия,Евгений Лаврентьев,Россия,2005
"Мечтать не вредно (фильм, 1991)",комедия,Пьер Ришар,Франция,1991
Мечтать и жить,драма,Юрий Ильенко,СССР,1975
Мечтатель (фильм),"спортивный фильм, и, драма",Джон Гэйтинс,США,"21 октября, 2005, и, 23 марта, 2006, [, 1, ]"
"Мечтатели (фильм, 2003)",романтическая драма,Бернардо Бертолуччи,"Великобритания, Франция, Италия",2003
"Мечтатели (фильм, 1934)","военный фильм, драма",Давид Марьян,СССР,1934
Лабиринт фавна,"тёмное фэнтези, [, 1, ], [, 2, ], драма, [, 3, ]",Гильермо дель Торо,"Испания, Мексика, [, 6, ]",2006
Миссия невыполнима: Протокол Фантом,"шпионский, боевик",Брэд Бёрд,США,2011
Миссия невыполнима: Последствия,"шпион, боевик, триллер, приключения",Кристофер Маккуорри,США,2018
Миссия невыполнима: Последняя расплата,"шпионский, боевик",Кристофер Маккуорри,США,2025
Миссия невыполнима: Племя изгоев,"шпионский, боевик",Кристофер Маккуорри,США,2015
Миссия невыполнима 3,"шпионский, боевик",Дж. Дж. Абрамс,США,2006
Миссия невыполнима 2,"шпионский, боевик",Джон Ву,США,2000
Миссия невыполнима (фильм),"шпионский, боевик",Брайан Де Пальма,США,1996
Миссия на Марс,"фантастика, приключения, триллер, драма",Брайан Де Пальма,США,2000
Миссия милосердия: спасение рейса № 771,Драма,Роджер Янг,"Австралия, ,, США",1993
Миссия Дарвина,"комедия, боевик, приключения, научная фантастика",Хойт Йитмен,США,2009
Миссия в Танжере,комедия,Андре Юнебель,Франция,1949
Миссия в Москву,"исторический фильм, ,, пропаганда, ,, драма",Майкл Кёртис,США,1943
Миссия в Майами,"комедия, экшн",Тим Стори,США,2016
Миссия в Кабуле,политический детектив,Леонид Квинихидзе,СССР,1970
Миссия ассасина,"боевик, триллер, криминал",Джесси Атлас,США,2023
Миссия акулы,"боевик, драма, исторический, военный",Роберт Айскоув,США,1991
"Миссия (фильм, 1999)",боевик,Джонни То,Гонконг,1999
"Миссия (фильм, 1986)","драма, исторический",Ролан Жоффе,Великобритания,1986
Миссия «Серенити»,Фантастика,Джосс Уидон,США,2005
Миссисипская масала,"мелодрама, драма, комедия",Мира Наир,"США, Великобритания",1991
Миссисипи в огне,"криминальная, драма",Алан Паркер,США,1988
Кто убил электромобиль?,Документальное кино,"Крис Пейн, [англ.]",США,2006
Лабиринт страстей,"комедия, ,, мелодрама",Педро Альмодовар,Испания,1982
Мои университеты (фильм),Биография,Марк Донской,СССР,1940
Мои счастливые звёзды 2,комедия,Само Хун,Гонконг,1986
Мои счастливые звёзды,"комедия, вост. единоборства",Само Хун,Гонконг,1985
Мои современники,документальное кино,Владислав Виноградов,СССР,1984
Мои собственные ошибки,"драма, ,, мелодрама, ,, комедия",Тайлер Перри,США,2009
Мои родители разводятся,драма,Мечислав Кравич,Польша,1938
Мои первые увлечения,драма,Жан Эсташ,Франция,1974
Мои ночи прекраснее ваших дней,мелодрама,Анджей Жулавский,Франция,1989
Мои мысли тихие,трагикомедия,Антонио Лукич,Украина,"4 июль 2019, (, KVIFF, ), 16 января 2020, (Україна)"
Мои любимые мужчины,"комедийный фильм, [, 1, ]","Стено, [, 1, ]",Италия,1978
Мои друзья,комедия,Марио Моничелли,Италия,1975
Мои дорогие,мелодрама,Ярослав Лупий,СССР,1975
Мои дни с Мёрси,мелодрама,Тали Шалом-Эзер,"США, Великобритания",2017
"Мои голубые небеса (фильм, 1990)",комедия,Герберт Росс,США,1990
Мои герои всегда были ковбоями,вестерн,Стюарт Розенберг,США,1991
Мои волосы хотят убивать,"ужасы, комедия","Джастин Симиен, [англ.]",США,2020
Мозговой штурм (фильм),"фантастика, /, боевик",Дуглас Трамбулл,США,1983
Мозговой импульс,фантастика,Улли Ломмель,США,1982
Мозговая атака,научно-фантастический фильм,Ришар Пепен,Канада,2001
Мозги набекрень,"комедия, научная фантастика",Карл Райнер,США,"1983, и, 7 июня, 1985, [, 2, ]"
Мозг полковника Бархэма,фантастика,"Чарльз Хаас, [англ.]",США,
Леди в клетке,триллер,Уолтер Грауман,США,1964
Молох (фильм),драма,Александр Сокуров,"Франция, Германия, [, 2, ], Россия, [, 2, ], Япония, Италия","1999, и, 11 мая, 2000, [, 1, ]"
"Молот ведьм (фильм, 1970)",Драма,Отакар Вавра,Чехословакия,1970
Молот (фильм),"драма, ,, спорт",Нурбек Эген,Россия,2016
Молоко скорби,драма,Клаудия Льоса,"Испания, Перу","29 октября, 2009, [, 1, ], и, 5 ноября, 2009, [, 2, ]"
Молоко птицы,драма,Евгений Марьян,"Россия, Молдова",2021
Молоко матери,,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Инара Колмане, [вд]",Латвия,2023
Молоко (фильм),"драма, комедия",Карен Оганесян,Россия,2021
Молокаи. История отца Дэмиена,биографический фильм,Пол Кокс,"Австралия, Бельгия, Нидерланды",1999
Моложе себя и не почувствуешь,комедия,"Хармон Джонс, [англ.]",США,1951
Молодые чемпионы,комедия,Пьер Блонди,Франция,1951
Молодые филадельфийцы,драма,Винсент Шерман,США,1959
Молодые стрелки 2,вестерн,Джеф Мёрфи,США,1990
Молодые стрелки,вестерн,Кристофер Кэйн,США,"1988, и, 2 февраля, 1989, [, 1, ]"
Молодые орлы (фильм),"немое кино, и, военный фильм",Теодор Лутс,Эстония,1927
Молодые люди (фильм),мелодрама,"Константин Худяков, ,, Сергей Линков",СССР,1983
"Молодые люди (фильм, 1961)","криминальная, драма",Луис Алькориса,Мексика,1961
"Молодые любовники (фильм, 1954)",романтический фильм,Энтони Асквит,Великобритания,1954
Молодые львы (фильм),"военная, драма",Эдвард Дмитрык,США,1958
Молодые драконы,боевик,"Джон Ву, (У Юйсэнь)",Гонконг,1974
Молодые годы королевы,мелодрама,Эрнст Маришка,Австрия,1954
Лето солнечного затмения,фильм-драма,Хиромити Хорикава,Япония,1956
Мост искусств (фильм),драма,Эжен Грин,Франция,2004
Мост граффити,"музыкальный фильм, /, драма",Принс,США,1990
"Мост Ватерлоо (фильм, 1940)","драма, военный, мелодрама",Мервин Лерой,США,1940
"Мост в Терабитию (фильм, 2007)","фэнтезийная драма, саундтрек",Габор Чупо,"США, США","16 февраля, 2007, и, 1 марта, 2007, [, 5, ]"
"Мост в Терабитию (фильм, 1985)",драма,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Эрик Тилль, [вд]",Канада,1985
"Мост в никуда (фильм, 2009)","драма, криминальный фильм",Блэр Андервуд,США,2009
"Мост (фильм, 2008)","военный, драма",Вольфганг Панцер,ФРГ,2008
"Мост (фильм, 2003)",драма,Бобби Гарабедиан,"Чехия, США",2003
"Мост (фильм, 1959)","военный, драма",Бернхард Викки,ФРГ,1959
"Мост (фильм, 1956)",драма,Борис Шрейбер,СССР,1956
"Мост (фильм, 1942)",,"Шота Манагадзе, ,, Константин Пипинашвили",СССР,1942
Моссад (фильм),"комедия, пародия",Алон Гур Ари,Израиль,2019
Мосли (мини-сериал),"историческая, драма, ,, биография",Роберт Найтс,Великобритания,
Московский жиголо,драма,Дмитрий Фикс,Россия,2008
Московский декамерон,"комедия, ,, детектив",Станислав Митин,Россия,2011
"Московские ночи (фильм, 1934)",драма,Алексе́й Миха́йлович Грано́вский,Франция,1934
Московские красавицы,"криминальная, драма, эротика",Наум Ардашников,СССР,1991
Московские каникулы,комедия,Алла Сурикова,Россия,1995
Московская любовь,драма,Валерий Курыкин,СССР,1991
Московская жара,"боевик, драма",Джефф Челентано,"США, Россия",2004
Москиты (фильм),"научно-фантастический фильм, [, 1, ], ,, фильм о монстрах, и, боевик",Гари Джонс,США,1994
"Ловушка для родителей (фильм, 1998)",Семейный фильм,Нэнси Мейерс,США,1998
Львиное сердце 2,боевик,Хари,Индия,2013
Мужчина и женщина: 20 лет спустя,"драма, /, мелодрама",Клод Лелюш,Франция,1986
"Мужчина и женщина (фильм, 2016)","мелодрама, драма",Ли Юн Ги,Республика Корея,2016
Мужчина и женщина,мелодрама,Клод Лелуш,Франция,1966
"Мужчина для молодой женщины (фильм, 1988)",комедия,Джахангир Мехтиев,"СССР, /, Азербайджанская ССР",1988
Мужчина в темноте,Фильм нуар,Лью Лэндерс,США,1953
Мужчина в расцвете лет,"мелодрама, экранизация",Ольгерт Дункерс,СССР,1977
Мужчина в нашем доме,"драма, ,, триллер, ,, исторический фильм",".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Генри Баракат, [вд]",Египет,1961
Мужчина в ванне,драма,Кристоф Оноре,Франция,2010
Мужской талисман,"военный, ,, боевик, ,, драма","Борис Галкин, ,, Вячеслав Максаков",Россия,1995
Мужской стриптиз (фильм),комедия,Питер Каттанео,Великобритания,1997
Мужской сезон: Бархатная революция,"Боевик, саундтрек",Олег Степченко,Россия,2005
Мужской разговор (фильм),драма,Игорь Шатров,СССР,1968
Мужской клуб,драма,Питер Медак,США,1986
Мужское слово,"Музыкально-лирическая, комедия, /, драма",Джахангир Мехтиев,СССР,1987
Мужское лето,"драма, детектив",Марионас Гедрис,СССР,1970
Мужское дело,"детектив, триллер",Николя Рибовски,Франция,1981
Мужское воспитание,"детское кино, ,, мелодрама","Усман Сапаров, ,, Язгельды Сеидов",СССР,1982
Мужское — женское,драма,Жан-Люк Годар,"Франция, Швеция",1966
Мужские хлопоты,"комедия, мелодрама",Боб Рейфелсон,"США, Италия",1992
Мужские тревоги,Приключения,Анатолий Ниточкин,СССР,1985
Любовь на сто процентов,"романтическая комедия, романтическая комедия",Сукумар,"Индия, Индия",2011
Львиное сердце (фильм),"приключения, драма",Франклин Шеффнер,"США, Венгрия",1987
Мадам Сузацка (фильм),"драма, музыкальный фильм",Джон Шлезингер,Великобритания,1988
"Мы не ангелы (фильм, 1989)",комедия,Нил Джордан,США,1989
Мы назовём его Андреа,комедия,Витторио Де Сика,Италия,1972
Мы можем быть героями,Супергеройский фильм,Роберт Родригес,США,2020
Мы ли это?,,Георгий Левашов-Туманишвили,СССР,
Мы купили зоопарк,"комедия, драма",Кэмерон Кроу,США,2011
Мы из Семиречья,"исторический, ,, драма, ,, военный фильм","Султан-Ахмет Ходжиков, Алексей Очкин",СССР,1958
Мы из Кронштадта,"военный фильм, драма",Ефим Дзиган,СССР,1936
Мы из джаза,"музыкальная, комедия, [, 1, ], [, 2, ], [, 3, ]",Карен Шахназаров,СССР,1983
Мы из будущего 2,"военный фильм, ,, драма, ,, фантастика","Александр Самохвалов, Борис Ростов",Россия,2010
Мы из будущего,"фантастика, ,, военный, ,, боевик, ,, приключения",Андрей Малюков,Россия,2008
Мы и наши горы,"комедия, ,, притча",Генрих Малян,СССР,1969
Мы здесь живём,социальная драма,"Шакен Айманов, ,, Матвей Володарский",СССР,1956
Мы здесь больше не живём,драма,Джон Кёрран,"США, Канада",2004
Мы жили по соседству,мелодрама,Николай Лырчиков,СССР,1982
Мы ждём вас с победой,Фильм-концерт,"Александр Медведкин, ,, Илья Трауберг",СССР,1941
Мы ещё встретимся,"приключения, ,, детское кино, ,, экранизация",Левон Григорян,СССР,1984
Мы есть. Мы рядом,драма,Роман Гургенович Балаян,Украина,"24 августа, 2020"
"Мы едем, едем, едем (фильм)","комедийный фильм, ,, история взросления, ,, музыкальный фильм, и, эпический фильм",Ричард Линклейтер,США,
Мы думаем только о тебе,комедия,Колин Грегг,Великобритания,1988
Мы должны помогать друг другу,военная трагикомедия,Ян Гржебейк,Чехия,2000
Мы встретимся снова,"драма, мелодрама, [, 1, ]",Чан Ву,Северный Вьетнам,1974
Мы встретились в виртуальной реальности,документальный,Джо Хантинг,Великобритания,2022
Мы всегда жили в замке,"фильм-триллер, и, фильм-тайна",Стэйси Пассон,США,2018
Мы всегда говорим «до свидания»,"военный фильм, драма",Моше Мизрахи,США,1986
Малый вперёд: Катастрофа танкера «Эксон Валдиз»,драма,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Пол Сид, [вд]",США,
"На краю лезвия (фильм, 1994)","триллер, драма","Джо д’Амато, ,, Клаудио Бернабей",Италия,1994
На краю Вселенной: Битва за мир,фантастика,Брайан Хенсон,"США, Австралия",
На красном фронте,"приключения, ,, пропаганда",Лев Кулешов,РСФСР,1920
На край света…,драма,Родион Нахапетов,СССР,1975
На короткой волне,драма,Михаил Беликов,СССР,1977
На комете,"научно-фантастический фильм, ,, приключенческий фильм, ,, комедийный фильм",Карел Земан,Чехословакия,1970
На кого Бог пошлёт,комедия,Владимир Зайкин,Россия,1994
На Киевском направлении,"драма, военный, исторический",Владимир Денисенко,СССР,1968
На исходе лета,драма,Рубен Мурадян,СССР,1979
"На исходе дня (фильм, 1954)","военная, драма",Сацуо Ямамото,Япония,1954
На измене,комедия,Александр Атанесян,Россия,2010
На игре 2. Новый уровень,"приключения, боевик, киберпанк",Павел Санаев,Россия,2010
На игре,"приключения, боевик, киберпанк",Павел Санаев,Россия,2009
На игле (фильм),"драма, криминал, комедия","Дэнни Бойл, [, 1, ], [, 2, ], […]","Великобритания, [, 3, ]","23 февраля 1996, 15 июля 2021"
На золотом озере,драма,Марк Райделл,"Великобритания, США",1981
На зов города,драма,Хусейн Камаль,Египет,1975
На знакомой почве,"Фантастика, драма",Стефан Лафлёр,Канада,2011
На златом крыльце сидели,Сказка,Борис Рыцарев,СССР,1986
На зелёной земле моей,драма,"Ричард Викторов, Игорь Шишов",СССР,1958
"Маречек, подайте мне ручку!",комедия,Ольдржих Липский,Чехословакия,1976
Называй её дикой,драма,Джон Фрэнсис Диллон,США,"1932, и, 2004"
Назови своё имя по буквам,"документальная, драма",Сергей Буковский,"Украина, США",2006
Назови меня своим именем (фильм),"романтическая драма, история взросления",Лука Гуаданьино,"Италия, США, Франция, Бразилия, [, 4, ], [, 5, ]",2017
Назначение (фильм),"мелодрама, ,, комедия",Сергей Колосов,СССР,
Назначаешься внучкой,"военный фильм, драма",Ярополк Лапшин,СССР,1975
Назидательный патруль (фильм),комедийный фильм,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Saeed Soheili, [вд]",Иран,"15 марта, 2012"
Назарин (фильм),драма,Луис Бунюэль,Мексика,1958
"Назар Стодоля (фильм, 1954)","историческая, драма",Виктор Ивченко,СССР,1954
"Назар Стодоля (фильм, 1936)","историческая, драма",Георгий Тасин,СССР,1936
"Назад в СССР (фильм, 1992)","триллер, драма, криминал",Деран Сарафян,"США, Россия",1992
Назад в будущее: Путешествие,"приключения, фантастика","Дэвид де Вос, Дуглас Трамбалл","США, Япония","2 мая, 1991, [, 1, ], ,, 12 июня, 1993, ,, 31 марта, 2001, и, 10 февраля, 2009"
Назад в будущее 3,научно-фантастический вестерн,Роберт Земекис,США,1990
Назад в будущее 2,"научная фантастика, Музыка к фильму",Роберт Земекис,"США, США",1989
